incident_category,row_count
Larceny Theft,294317
Other Miscellaneous,68885
Malicious Mischief,68458
Assault,64538
Burglary,55976
Motor Vehicle Theft,54809
Recovered Vehicle,40248
Non-Criminal,37949
Fraud,34123
Warrant,32949
Lost Property,30960
Drug Offense,30607
Missing Person,22599
Robbery,22481
Suspicious Occ,21358
Disorderly Conduct,18587
Offences Against The Family And Children,13557
Miscellaneous Investigation,12899
Traffic Violation Arrest,9174
Other Offenses,8688
Other,8666
Weapons Offense,7223
Weapons Carrying Etc,5843
Stolen Property,4914
Case Closure,4208
Forgery And Counterfeiting,3865
Courtesy Report,3224
Arson,2919
Traffic Collision,2631
Vandalism,2307
Fire Report,1534
,1484
Embezzlement,1285
Sex Offense,1110
Prostitution,1025
Civil Sidewalks,962
Vehicle Impounded,855
Suicide,469
Vehicle Misplaced,446
Drug Violation,341
Rape,268
Homicide,232
Liquor Laws,147
Suspicious,134
"Human Trafficking (A), Commercial Sex Acts",123
Motor Vehicle Theft?,102
Gambling,66
Weapons Offence,28
"Human Trafficking, Commercial Sex Acts",25
"Human Trafficking (B), Involuntary Servitude",3
