incident_code,row_count
06244,110862
28150,33221
04134,32270
71000,30960
06372,30790
07041,29918
07021,29026
06374,24892
06224,19906
28160,19074
64070,19072
64085,17367
72000,17059
63010,16024
71013,14153
68020,12886
62050,12836
06243,12150
74000,11744
09320,11554
19057,11117
75000,10855
27195,9932
16710,9285
65010,9174
04013,8470
28100,8425
05073,8059
51040,7987
61030,7908
06363,7598
27170,7225
09029,6935
06304,6445
03074,5889
04014,5782
09024,5611
05071,5605
06364,5425
07025,5358
07020,5355
07045,5305
65015,5251
07055,5136
05013,5097
06303,4852
06362,4835
71012,4756
07023,4722
15200,4453
11012,4328
12030,4301
06242,4237
75030,4208
26080,4187
05151,4094
65016,3938
07043,3904
15161,3807
75025,3733
06154,3710
05041,3547
07026,3514
05051,3458
05011,3456
05043,3394
06361,3290
05083,3238
68030,3224
04012,2966
16652,2954
06234,2855
26170,2803
06241,2799
06302,2731
04138,2686
05081,2641
06373,2629
16623,2560
16650,2555
64010,2552
27175,2550
28135,2539
05053,2511
09250,2510
06153,2508
27130,2508
71024,2446
09027,2428
03014,2411
07100,2307
03401,2252
27199,2106
03071,2036
06301,2017
06314,2006
05153,1994
06240,1910
28165,1880
12080,1876
04011,1753
16110,1731
27090,1710
65050,1646
19095,1630
12027,1611
04136,1592
16220,1578
06223,1549
68000,1534
07051,1509
05014,1488
26030,1429
06371,1419
64060,1353
15162,1349
68050,1328
16662,1324
19090,1324
06113,1310
06313,1268
51050,1213
71011,1210
16704,1188
05042,1187
12100,1180
15155,1173
04170,1105
64015,1074
06152,1027
12168,1015
06114,990
27065,984
06360,976
07046,969
73010,968
03011,948
03474,922
26150,919
04144,912
12015,898
06222,879
10125,879
04154,876
05141,873
62030,865
15300,859
62060,859
03073,858
19089,858
07053,855
06246,841
09026,838
05072,836
30200,819
06221,804
03072,791
16740,790
05082,783
06112,777
28161,771
68060,756
04104,755
04081,740
61040,727
26031,723
65020,702
62020,699
26145,692
05012,680
16660,677
16625,668
09164,647
16210,645
62071,641
09340,632
06126,622
06151,618
09016,606
15151,601
09015,601
04092,599
16622,594
28092,589
03044,588
04083,576
19010,574
19022,567
19050,564
03081,564
05052,551
68069,546
07200,534
27171,533
04033,527
14040,517
13075,510
05152,507
28140,505
06125,487
12120,477
04021,476
14020,475
12173,475
64002,473
19400,471
05143,467
09262,461
09020,459
27010,455
04114,451
15201,447
16654,446
07054,446
62010,442
03084,434
06394,430
16621,430
51041,429
10115,415
16010,412
03414,410
03024,407
09031,402
26100,401
09150,401
05061,399
06233,394
65060,393
16100,379
19024,376
64001,376
16664,371
13060,371
30190,359
03013,354
64065,350
05171,350
07052,349
62040,348
64080,344
16780,341
16620,340
65021,339
16030,339
15150,336
06111,328
05033,323
10149,322
06383,321
04084,321
06381,317
04073,314
19055,309
05173,301
26200,300
26141,300
64090,299
03471,294
10045,293
65056,290
04022,287
03012,280
26036,279
15400,278
05023,276
28166,276
03043,273
16230,267
28010,262
06230,255
09040,253
27177,247
73000,240
64072,239
71010,235
04082,230
09264,225
26105,218
09310,217
26142,217
30155,212
04074,204
06400,201
06300,197
06386,197
06365,197
05021,192
03472,191
10120,190
27300,189
10015,180
26040,180
03021,179
26063,177
14021,176
10090,176
03051,174
27131,173
65030,173
15160,173
03473,172
27068,170
28080,169
07024,168
28110,168
05251,165
15410,164
03042,164
26120,163
26032,163
30140,162
62070,162
12130,161
27400,161
30210,159
03411,157
30080,155
16120,154
12010,153
27172,148
19028,147
12171,146
07060,145
06312,142
12166,142
26028,141
09120,138
09110,135
12008,134
12026,132
07044,131
06220,131
27070,129
19020,126
03054,126
07056,125
19081,124
13045,123
05063,121
65070,121
26029,119
26039,118
28164,118
06370,118
09215,116
04023,116
28030,113
06232,113
03041,111
03444,108
09030,108
05062,108
01160,106
10110,106
05111,105
16420,103
03023,103
07027,102
27122,98
16645,96
05113,95
06310,95
09173,92
03022,89
03424,89
60190,89
14022,89
31000,89
12167,88
05271,88
03083,87
60010,86
05022,83
30130,81
27198,81
26148,80
64030,80
03413,79
12060,78
06396,78
10040,77
03094,77
05015,77
17020,76
30030,76
03412,75
16632,74
16430,74
27145,74
30180,74
02004,74
68055,73
62072,73
05142,72
06150,72
03082,71
12006,71
12164,69
65040,69
65057,69
06133,68
15164,67
04064,67
27060,66
09035,66
04080,65
05031,65
01001,64
13115,64
14023,64
26210,63
13111,62
16656,61
09330,60
27140,60
64000,58
28169,57
03494,57
64012,56
03064,56
28136,55
06316,55
14043,55
64003,55
11013,54
09269,53
27110,53
09267,53
05121,53
16020,52
06134,52
12163,52
27401,51
05123,51
60150,51
06231,50
16060,50
03063,49
02104,48
12110,47
10117,46
19083,46
19100,46
06398,46
28020,46
74020,45
28120,45
27176,45
60170,45
06124,45
16040,45
06315,44
12025,44
64040,42
14072,42
17030,41
14052,41
11016,41
26037,41
60080,41
03091,41
60060,41
03464,41
65014,41
26143,40
03053,40
04024,40
65055,39
26035,39
12169,38
11017,37
16410,37
73001,36
30150,36
27100,36
09271,36
27066,35
60110,34
66010,34
04063,33
03463,33
16666,32
13020,32
16624,31
05241,30
11014,30
03061,30
26135,30
07201,30
09034,29
27040,29
03421,29
19072,29
04062,29
16240,29
03031,29
15152,29
01000,29
10010,28
03034,28
12050,28
12055,27
14060,27
06132,27
16626,27
04091,27
65022,27
06123,27
30170,26
28102,26
28130,26
61010,26
16630,25
03092,25
27173,25
19082,25
66030,25
28167,25
09060,25
12140,24
09175,24
30000,24
19060,24
05172,24
13030,24
19062,24
02020,24
04146,24
03443,24
09166,23
17130,23
03423,23
13010,23
28181,22
64011,22
03442,22
19077,22
14024,22
60090,22
03093,22
12065,21
03052,21
26149,21
68053,21
11015,21
07042,21
07022,21
05133,21
51030,21
04072,21
64100,21
03441,20
02204,20
10065,20
16705,19
26020,19
15153,19
68022,19
27185,19
12161,17
16640,17
10025,17
04053,17
09125,17
16720,17
27220,17
30007,17
27031,17
04052,16
27030,16
14045,16
60070,16
16642,16
05131,15
19080,15
06213,15
19075,15
04145,15
05112,15
16629,15
03461,15
03454,14
06343,14
09210,14
03451,14
16610,14
19031,14
03492,14
60180,14
16612,14
01002,14
13070,14
04093,14
68021,13
07206,13
60120,13
28050,13
07203,13
09163,13
12172,13
06344,13
06214,13
68057,13
13110,13
12040,13
27082,12
27020,12
75011,12
64017,12
19053,12
05032,12
16130,12
06377,12
06131,11
06122,11
14042,11
09167,11
03062,11
30006,11
27080,11
19025,11
03422,11
06395,10
28170,10
19015,10
10145,10
06341,10
26160,10
06342,10
12075,10
26213,10
09270,9
06110,9
28168,9
04054,9
10140,9
27072,8
16712,8
03491,8
74024,8
12070,8
06391,8
03033,8
05161,8
09162,8
27200,8
06130,8
26061,8
16310,8
13120,8
03431,8
16050,8
15401,7
01003,7
12090,7
09268,7
09161,7
30191,7
09010,7
51020,7
19070,7
28040,7
06378,7
16320,7
65013,7
27197,6
09165,6
07205,6
16750,6
15303,6
12024,6
27210,6
15154,6
09023,6
02005,6
27174,6
15097,6
72023,6
30192,6
06143,6
05163,6
10075,6
05231,5
61020,5
26034,5
06375,5
74022,5
04061,5
19086,5
13072,5
26177,5
60160,5
03493,5
19058,5
65080,5
06399,5
06340,5
30120,5
30070,5
60020,5
26140,5
14031,5
09265,4
09140,4
10060,4
60050,4
03462,4
19030,4
05261,4
66050,4
16440,4
06212,4
07204,4
05122,4
06121,4
09266,4
09021,4
06120,4
04026,4
01004,4
27201,4
12150,4
26010,3
19032,3
30011,3
15163,3
26180,3
73002,3
66040,3
19088,3
71019,3
04090,3
06353,3
15165,3
03453,3
06141,3
13080,3
26190,3
02103,3
27071,3
05211,3
30009,3
06354,3
04124,3
01133,3
06352,3
26038,3
09022,3
17110,3
15302,3
26175,3
26178,3
26176,3
16711,3
12020,3
28103,3
16510,3
09130,2
06397,2
04085,2
19084,2
26050,2
03452,2
14025,2
10055,2
28060,2
09171,2
04076,2
06157,2
27196,2
10035,2
14030,2
12073,2
16700,2
19026,2
17071,2
12160,2
27050,2
15301,2
19076,2
16730,2
03484,2
26062,2
06210,2
03432,2
12165,2
03032,2
02003,2
10020,2
01062,2
02201,2
06142,2
26095,2
09176,2
01007,2
05162,2
10070,2
16760,2
14041,2
16550,2
03433,2
02102,2
28180,2
10050,1
03481,1
60030,1
04043,1
02101,1
27165,1
60040,1
09263,1
51010,1
06235,1
27120,1
27150,1
30110,1
09172,1
68056,1
04164,1
04148,1
10085,1
30206,1
12004,1
64013,1
19040,1
16520,1
07202,1
16646,1
03483,1
14071,1
30020,1
19065,1
06211,1
17070,1
04051,1
30160,1
30131,1
16644,1
16634,1
60140,1
03434,1
02001,1
27155,1
68058,1
13050,1
06351,1
01005,1
64018,1
17072,1
27067,1
26211,1
66060,1
64014,1
09032,1
02202,1
05361,1
05371,1
16540,1
02002,1
30010,1
11011,1
06385,1
71015,1
30205,1
09261,1
