incident_description,row_count
"Theft, From Locked Vehicle, >$950",110862
"Malicious Mischief, Vandalism to Property",33221
Battery,32270
Lost Property,30960
"Theft, Other Property, $50-$200",30790
"Vehicle, Recovered, Auto",29918
"Vehicle, Stolen, Auto",29026
"Theft, Other Property, >$950",24892
"Theft, From Unlocked Vehicle, >$950",19906
"Malicious Mischief, Vandalism to Vehicle",19074
Suspicious Occurrence,19072
Investigative Detention,17367
Found  Property,17059
"Warrant Arrest, Local SF Warrant",16024
"License Plate, Stolen",14153
Miscellaneous Investigation,12886
"Warrant Arrest, Enroute To Outside Jurisdiction",12836
"Theft, From Locked Vehicle, $200-$950",12150
Missing Adult,11744
"Access Card, incl. Credit, Phone, ATM, Fraudulent Use of",11554
Terrorist Threats,11117
Found Person,10855
Trespassing,9932
"Narcotics Paraphernalia, Possession of",9285
Traffic Violation Arrest,9174
"Assault, Aggravated, W/ Other Weapon",8470
"Malicious Mischief, Breaking Windows",8425
"Burglary, Other Bldg., Unlawful Entry",8059
Aided Case,7987
"Death Report, Cause Unknown",7908
"Theft, Shoplifting, $200-$950",7598
"Resisting, Delaying, or Obstructing  Peace Officer Duties",7225
False Personation to Receive Money or Property,6935
"Theft, From Building, >$950",6445
"Robbery, W/ Force",5889
"Assault, Aggravated, W/ Force",5782
"Fraudulent Game or Trick, Obtaining Money or Property",5611
"Burglary, Other Bldg., Forcible Entry",5605
"Theft, Shoplifting, >$950",5425
"Vehicle, Stolen, Truck",5358
"Vehicle, Stolen & Recovered",5355
"Vehicle, Recovered, Truck",5305
"Driving, No License Issued",5251
"Vehicle, Recovered, Stolen outside SF",5136
"Burglary, Apartment House, Unlawful Entry",5097
"Theft, From Building, $200-$950",4852
"Theft, Shoplifting, $50-$200",4835
"License Plate, Recovered",4756
"Vehicle, Stolen, Motorcycle",4722
Domestic Violence (secondary only),4453
"Stolen Property, Possession with Knowledge, Receiving",4328
"Weapon, Deadly, Imitation or Laser Scope, Exhibiting",4301
"Theft, From Locked Vehicle, $50-$200",4237
Case Closure,4208
Conspiracy,4187
"Burglary, Non-residential, Forcible Entry",4094
"Driving, License Suspended or Revoked",3938
"Vehicle, Recovered, Motorcycle",3904
Violation of Restraining Order,3807
Search Warrant Service,3733
"Theft, From Person, >$950 (other than Pickpocket)",3710
"Burglary, Residence, Forcible Entry",3547
"Vehicle, Stolen, Other Vehicle",3514
"Burglary, Store, Forcible Entry",3458
"Burglary, Apartment House, Forcible Entry",3456
"Burglary, Residence, Unlawful Entry",3394
"Theft, Shoplifting, <$50",3290
"Burglary, Hot Prowl, Unlawful Entry",3238
Courtesy Report,3224
"Assault, Aggravated, W/ Knife",2966
"Methamphetamine, Possession For Sale",2954
"Theft, Vehicle Strip, >$950",2855
Probation Violation,2803
"Theft, From Locked Vehicle, <$50",2799
"Theft, From Building, $50-$200",2731
"Battery, former Spouse or Dating Relationship",2686
"Burglary, Hot Prowl, Forcible Entry",2641
"Theft, Other Property, $200-$950",2629
"Cocaine, Base/rock, Possession For Sale",2560
Methamphetamine Offense,2555
"Dog, Bite or Attack",2552
Evading a Police Officer Recklessly,2550
"Phone Calls, Harassing",2539
"Burglary, Store, Unlawful Entry",2511
Fraudulent Use Of Automated Teller Card,2510
"Theft, From Person, $200-$950 (other than Pickpocket)",2508
"Burglary Tools, Possession Of",2508
"Stay Away or Court Order, Non-DV Related",2446
False Personation,2428
"Robbery, Street or Public Place, W/ Force",2411
"Assault, Aggravated, W/ Gun",2352
"Vehicle, Tampering",2307
"Shoplifting, Force against Agent",2252
Lodging Without Permission,2106
"Robbery, W/ Gun",2036
"Theft, From Building, <$50",2017
"Theft, Bicycle, >$950",2006
"Burglary, Non-residential, Unlawful Entry",1994
"Theft, From Locked Vehicle, Att.",1910
"Malicious Mischief, Graffiti, Real or Personal Property",1880
"Firearm, Possession By Prohibited Person",1876
"Heroin, Possession For Sale",1731
"Theft, Lost Property, Petty",1710
Driving While Under The Influence Of Alcohol,1646
"Drugs, Under Influence  in a Public Place",1630
"Firearm, Discharging Within City Limits",1611
Battery with Serious Injuries,1592
"Opiates, Possession For Sale",1578
"Theft, From Unlocked Vehicle, $200-$950",1549
Fire Report,1534
"Vehicle, Stolen, Attempted",1509
"Burglary, Vehicle (Arrest made)",1488
Arson,1429
"Theft, Other Property, <$50",1419
Suspicious Act Towards Female,1353
Violation of Stay Away Order,1349
Traffic Collision,1328
"Controlled Substance, Possession For Sale",1324
"Alcohol, Under Influence Of In Public Place",1324
False Imprisonment,1322
"Theft, Pickpocket, $200-$950",1310
"Theft, Bicycle, $200-$950",1268
