incident_subcategory,row_count
Larceny - From Vehicle,155227
Other,102142
Larceny Theft - Other,74118
Vandalism,67706
Motor Vehicle Theft,53402
Simple Assault,40675
Recovered Vehicle,40248
Fraud,35510
Non-Criminal,34150
Drug Violation,32578
Lost Property,30960
Aggravated Assault,23864
Larceny Theft - Shoplifting,22124
Burglary - Other,21859
Suspicious Occ,21657
Burglary - Residential,20121
Larceny Theft - From Building,16242
Warrant,16049
Theft From Vehicle,15718
Weapons Offense,13238
Miscellaneous Investigation,12886
Intimidation,12239
Missing Adult,11744
Robbery - Other,11402
Missing Person,10855
Trespass,9971
Traffic Violation Arrest,9174
Burglary - Commercial,7334
Burglary - Hot Prowl,6662
Other Offenses,6352
Robbery - Commercial,5176
Stolen Property,4914
Robbery - Street,4714
Case Closure,4208
Forgery And Counterfeiting,3865
Larceny - Auto Parts,3702
Larceny Theft - Bicycle,3610
Larceny Theft - Pickpocket,3414
Courtesy Report,3224
Arson,2919
Disorderly Conduct,2689
Loitering,2367
Fire Report,1534
Motor Vehicle Theft (Attempted),1509
,1484
Traffic Collision,1328
Drunkenness,1324
Traffic Collision - Hit & Run,1303
Embezzlement,1285
Robbery - Carjacking,1156
Sex Offense,1108
Prostitution,1027
Liquor Law Violation,938
Vehicle Impounded,855
Kidnapping,663
Extortion-Blackmail,581
Suicide,469
Stalking,447
Vehicle Misplaced,446
Rape,191
Larceny Theft - Purse Snatch,166
"Human Trafficking, Commercial Sex Acts",148
Suspicious Package,134
Homicide,121
Manslaughter,109
Rape - Attempted,77
Bad Checks,66
Gambling,66
Robbery - Residential,33
Bribery,12
Arrest,7
"Human Trafficking, Involuntary Servitude",3
Homicide - Excusable,2
