nibrs_offense_code_description,nibrs_offense_code,nibrs_crime_against_category,offense_sub_category,offense_category,nibrs_group_a_b,shooting_type_group,offense_id,source_file_uri
Arson,200,PROPERTY,ARSON,PROPERTY CRIME,A,-,7641109326,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Destruction/Damage/Vandalism of Property,290,PROPERTY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",ALL OTHER,A,-,7647800428,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Bad Checks,90A,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,B,-,7663596023,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7697047077,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7652244942,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Aggravated Assault,13A,PERSON,AGGRAVATED ASSAULT,VIOLENT CRIME,A,-,7663848992,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Building,23D,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7630159624,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Aggravated Assault,13A,PERSON,AGGRAVATED ASSAULT,VIOLENT CRIME,A,-,7681804167,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7648364264,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Driving Under the Influence,90D,SOCIETY,DUI,ALL OTHER,B,-,7688053071,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Motor Vehicle Theft,240,PROPERTY,MOTOR VEHICLE THEFT,PROPERTY CRIME,A,-,7666417229,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7698468636,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Robbery,120,PROPERTY,ROBBERY,VIOLENT CRIME,A,-,7672407053,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Intimidation,13C,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,7693014825,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7693988218,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Robbery,120,PROPERTY,ROBBERY,VIOLENT CRIME,A,-,7681030915,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7685664490,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Destruction/Damage/Vandalism of Property,290,PROPERTY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",ALL OTHER,A,-,7675129152,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7686863407,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7641333396,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Intimidation,13C,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,7628321117,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7700107153,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Burglary/Breaking & Entering,220,PROPERTY,BURGLARY,PROPERTY CRIME,A,-,7688822732,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Robbery,120,PROPERTY,ROBBERY,VIOLENT CRIME,A,-,7644603064,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7657496185,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Burglary/Breaking & Entering,220,PROPERTY,BURGLARY,PROPERTY CRIME,A,-,7686796116,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Embezzlement,270,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,7666812123,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
