column,dtype
report_number,String
report_date_time,String
offense_id,String
offense_date,String
nibrs_group_a_b,String
nibrs_crime_against_category,String
offense_sub_category,String
shooting_type_group,String
block_address,String
latitude,String
longitude,String
beat,String
precinct,String
sector,String
neighborhood,String
reporting_area,String
offense_category,String
nibrs_offense_code_description,String
nibrs_offense_code,String
census_block_2020,String
source_city,String
source_dataset_id,String
source_dataset_kind,String
source_dataset,String
source_record_id,String
occurred_at_raw,String
occurred_at_end_raw,String
latitude_raw,String
longitude_raw,String
downloaded_at_utc,String
source_url,String
rescued_data,String
source_file,String
source_row_hash,String
source_system,String
ingested_at,"Datetime(time_unit='ns', time_zone=None)"
source_file_uri,String
ingestion_run_id,String
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')"
snapshot_id,String
occurrence_year,Int64
