nibrs_offense_code_description,nibrs_offense_code,nibrs_crime_against_category,offense_sub_category,offense_category,nibrs_group_a_b,shooting_type_group,row_count
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,126932
Burglary/Breaking & Entering,220,PROPERTY,BURGLARY,PROPERTY CRIME,A,-,100410
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,92760
Destruction/Damage/Vandalism of Property,290,PROPERTY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",ALL OTHER,A,-,78092
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,73908
Motor Vehicle Theft,240,PROPERTY,MOTOR VEHICLE THEFT,PROPERTY CRIME,A,-,66387
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,61983
Shoplifting,23C,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,49991
Not Reportable to NIBRS,999,NOT_A_CRIME,999,ALL OTHER,B,-,46895
Theft of Motor Vehicle Parts or Accessories,23G,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,36445
Aggravated Assault,13A,PERSON,AGGRAVATED ASSAULT,VIOLENT CRIME,A,-,31647
Trespass of Real,90J,SOCIETY,TRESPASS,ALL OTHER,B,-,30183
Intimidation,13C,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,29748
Theft From Building,23D,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,23444
Robbery,120,PROPERTY,ROBBERY,VIOLENT CRIME,A,-,19158
Violation of No Contact Orders,500,PERSON,VIOLATION OF NO CONTACT ORDER,ALL OTHER,A,-,15952
Drug/Narcotic Violations,35A,SOCIETY,NARCOTIC VIOLATIONS (INCLUDES DRUG EQUIP.),ALL OTHER,A,-,15228
Identity Theft,26F,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,14897
Driving Under the Influence,90D,SOCIETY,DUI,ALL OTHER,B,-,14002
Credit Card/Automated Teller Machine Fraud,26B,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,12983
False Pretenses/Swindle/Confidence Game,26A,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,9408
Impersonation,26C,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,8495
Weapon Law Violations,520,SOCIETY,WEAPON LAW VIOLATION,ALL OTHER,A,-,7222
Stolen Property Offenses,280,PROPERTY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",ALL OTHER,A,-,6853
"Family Offenses, Nonviolent",90F,SOCIETY,NON-VIOLENT FAMILY OFFENSES,ALL OTHER,B,-,5845
Counterfeiting/Forgery,250,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,3987
Wire Fraud,26E,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,3895
Rape,11A,PERSON,RAPE,VIOLENT CRIME,A,-,2753
Bad Checks,90A,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,B,-,2740
Fondling,11D,PERSON,SEX OFFENSES,ALL OTHER,A,-,2735
Pocket-picking,23A,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,1878
Weapon Law Violations,520,SOCIETY,WEAPON LAW VIOLATION,ALL OTHER,A,Shots Fired (Eyewitness/Casings/Property Damage),1759
Arson,200,PROPERTY,ARSON,PROPERTY CRIME,A,-,1744
Prostitution,40A,SOCIETY,PROSTITUTION OFFENSES,ALL OTHER,A,-,1722
Disorderly Conduct,90C,SOCIETY,DISORDERLY CONDUCT & VAGRANCY VIOLATIONS,ALL OTHER,B,-,1711
