nibrs_offense_code,row_count
23F,126939
220,100461
90Z,93355
290,79481
23H,73919
240,66402
13B,62037
23C,49996
999,47267
23G,36454
13A,34033
90J,30192
13C,29777
23D,23445
120,19426
500,15970
35A,15279
26F,14897
90D,14013
26B,12983
26A,9411
520,9097
26C,8495
280,6915
90F,5865
250,3989
26E,3895
11A,2754
90A,2740
11D,2735
23A,1878
200,1745
40A,1722
90C,1712
100,1649
35B,1612
-,1312
210,1299
270,1180
11B,791
90G,712
26G,646
370,575
09A,444
23B,409
90B,393
11C,351
720,288
40C,275
23E,220
40B,162
90H,146
36B,103
64A,98
26D,80
09C,34
90E,25
36A,24
09B,21
510,17
39A,12
64B,3
39B,2
90I,1
