nibrs_offense_code_description,row_count
Theft From Motor Vehicle,126939
Burglary/Breaking & Entering,100461
All Other Offenses,93355
Destruction/Damage/Vandalism of Property,79481
All Other Larceny,73919
Motor Vehicle Theft,66402
Simple Assault,62037
Shoplifting,49996
Not Reportable to NIBRS,47267
Theft of Motor Vehicle Parts or Accessories,36454
Aggravated Assault,34033
Trespass of Real,30192
Intimidation,29777
Theft From Building,23445
Robbery,19426
Violation of No Contact Orders,15970
Drug/Narcotic Violations,15279
Identity Theft,14897
Driving Under the Influence,14013
Credit Card/Automated Teller Machine Fraud,12983
False Pretenses/Swindle/Confidence Game,9411
Weapon Law Violations,9097
Impersonation,8495
Stolen Property Offenses,6915
"Family Offenses, Nonviolent",5865
Counterfeiting/Forgery,3989
Wire Fraud,3895
Rape,2754
Bad Checks,2740
Fondling,2735
Pocket-picking,1878
Arson,1745
Prostitution,1722
Disorderly Conduct,1712
Kidnapping/Abduction,1649
Drug Equipment Violations,1612
-,1312
Extortion/Blackmail,1299
Embezzlement,1180
Sodomy,791
Liquor Law Violations,712
Hacking/Computer Invasion,646
Pornography/Obscene Material,575
Murder & Nonnegligent Manslaughter,444
Purse-snatching,409
Curfew/Loitering/Vagrancy Violations,393
Sexual Assault With An Object,351
Animal Cruelty,288
Purchasing Prostitution,275
Theft From Coin-Operated Machine or Device,220
Assisting or Promoting Prostitution,162
Peeping Tom,146
Statutory Rape,103
"Human Trafficking, Commercial Sex Acts",98
Welfare Fraud,80
Justifiable Homicide,34
Drunkenness,25
Incest,24
Negligent Manslaughter,21
Bribery,17
Betting/Wagering,12
"Human Trafficking, Involuntary Servitude",3
Operating/Promoting/Assisting Gambling,2
Runaway,1
