offense_sub_category,row_count
LARCENY-THEFT,313260
BURGLARY,100461
ALL OTHER,93355
ASSAULT OFFENSES,91814
"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",86396
MOTOR VEHICLE THEFT,66402
EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),59632
999,47267
AGGRAVATED ASSAULT,34033
TRESPASS,30192
ROBBERY,19426
NARCOTIC VIOLATIONS (INCLUDES DRUG EQUIP.),16891
VIOLATION OF NO CONTACT ORDER,15970
DUI,14013
WEAPON LAW VIOLATION,9097
NON-VIOLENT FAMILY OFFENSES,5865
RAPE,3896
SEX OFFENSES,3008
PROSTITUTION OFFENSES,2159
DISORDERLY CONDUCT & VAGRANCY VIOLATIONS,2105
ARSON,1745
KIDNAPPING/ABDUCTION,1649
UNKNOWN,1312
LIQUOR LAW VIOLATIONS & DRUNKENNESS,737
PORNOGRAPHY,575
HOMICIDE,465
ANIMAL CRUELTY,288
HUMAN TRAFFICKING,101
JUSTIFIABLE HOMICIDE,34
GAMBLING OFFENSES,14
RUNAWAY,1
