incident_type,source_file_uri
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Fraud,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Sexual Offense - Other,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Burglary,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Assault - Other,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Stolen Property,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Aggravated Assault,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Aggravated Assault,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Death Investigation,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Aggravated Assault,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Disorderly Conduct,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Robbery,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Rape,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Aggravated Assault,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
Homicide,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
All Other - Non-Criminal,s3://crimenet-data/raw_files/landing/sonoma_county_sheriff_ca/part-00000.csv
