incident_type,row_count
All Other - Non-Criminal,166096
Burglary,24673
Drug Offense,23681
Larceny,20295
Assault - Other,17983
All Other - Criminal,13888
Fraud,13443
Vandalism,12209
Aggravated Assault,8037
Drunkenness,7065
Weapons Offenses,3864
Rape,3343
Driving Under the Influence,3206
Disorderly Conduct,2867
Stolen Property,2190
Motor Vehicle Theft,1370
Robbery,1277
Alcohol Violation,1191
,1139
Sexual Offense - Other,806
Arson,524
Homicide,277
VC Violation,159
Death Investigation,6
Animal Cruelty,2
Involuntary Servitude,1
