offense,source_file_uri
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2020/part-00000.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2020/part-00002.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2025/part-00017.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2022/part-00015.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2023/part-00017.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2020/part-00001.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2021/part-00026.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2022/part-00001.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2025/part-00019.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00025.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2024/part-00000.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2021/part-00001.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2021/part-00000.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2021/part-00011.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2020/part-00000.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2020/part-00009.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2020/part-00000.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2022/part-00005.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2025/part-00000.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2020/part-00000.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2022/part-00006.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2022/part-00009.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2021/part-00014.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2021/part-00000.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00001.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2020/part-00019.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2023/part-00020.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2023/part-00014.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2022/part-00017.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2021/part-00017.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2024/part-00001.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2023/part-00015.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00021.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00021.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2022/part-00003.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2022/part-00025.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00023.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00033.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00001.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2020/part-00014.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00018.parquet
