column,dtype
ccn,String
report_dat,String
start_date,String
end_date,String
block,String
offense,String
method,String
shift,String
ward,String
anc,String
district,String
psa,String
neighborhood_cluster,String
block_group,String
census_tract,String
voting_precinct,String
bid,String
xblock,String
yblock,String
latitude,String
longitude,String
objectid,String
octo_record_id,String
geometry_x,String
geometry_y,String
geometry_json,String
source_city,String
source_dataset_id,String
source_dataset_kind,String
source_dataset,String
source_record_id,String
occurred_at_raw,String
occurred_at_end_raw,String
latitude_raw,String
longitude_raw,String
downloaded_at_utc,String
source_url,String
source_file_uri,String
ingestion_run_id,String
ingested_at_utc,"Datetime(time_unit='us', time_zone='UTC')"
snapshot_id,String
occurrence_year,Int64
