column,nulls,min,p01,p50,p90,p99,p999,max
osm_poi_density_per_km2,0,0.0,0.0,0.0,0.0,63.946529229821735,356.8103507551357,35515.647834817304
osm_nightlife_poi_density_per_km2,0,0.0,0.0,0.0,0.0,0.0,8.75776427781535,299.32244090808683
osm_food_poi_density_per_km2,0,0.0,0.0,0.0,0.0,0.0,41.269185784073365,1996.388517333719
osm_retail_poi_density_per_km2,0,0.0,0.0,0.0,0.0,8.989612173567982,58.9579295512131,1798.0912531096867
osm_transit_poi_density_per_km2,0,0.0,0.0,0.0,0.0,0.0,38.72740346500021,580.4160506358177
osm_road_length_density_m_per_km2,0,0.0,0.0,3236.3090519887614,9147.353118696277,33240.511739722875,58012.53916842319,257780.5363098364
osm_major_road_density_m_per_km2,0,0.0,0.0,0.0,2534.979993612115,7033.118575476236,16087.377485776811,68175.31001030207
osm_intersection_density_per_km2,0,0.0,0.0,0.0,38.237651614738496,234.14729071110702,565.3348397559587,2807.768348867626
osm_dead_end_density_per_km2,0,0.0,0.0,0.0,18.285737592261288,62.20353378143356,194.29311632410275,2762.429134311115
osm_building_density_per_km2,0,0.0,0.0,0.0,35.946356750498325,709.6614638710591,1737.787236617882,8041.804753981271
osm_major_road_length_ratio,0,0.0,0.0,0.0,0.38551658944718925,1.0,1.0,1.0
osm_residential_road_length_ratio,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
osm_service_road_length_ratio,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
osm_one_way_road_length_ratio,0,0.0,0.0,0.0,0.0,0.8589065924617606,1.0,1.0
osm_tracked_poi_category_entropy,0,0.0,0.0,0.0,0.0,0.6931471805599453,1.464816384890813,2.1873223188492537
osm_land_use_category_entropy,0,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681096,1.6094379124341005
osm_commercial_residential_mix_ratio,0,0.0,0.0,0.0,0.0,0.0,1.0,48.0
socio_population,42654,0.0,741.0,3356.0,5813.0,9974.0,14826.0,44364.0
socio_median_age,113164,3.9,26.0,43.5,54.0,63.2,72.0,86.2
socio_median_household_income,233857,2499.0,31708.0,70921.0,107679.0,181563.0,250001.0,250001.0
socio_poverty_rate,116772,0.0,0.013665914820220247,0.1087248322147651,0.23194748358862144,0.4045246431457043,0.5583368689011455,1.0
socio_unemployment_rate,113065,0.0,0.0,0.035742035742035744,0.09246753246753246,0.2211514075576972,0.2950530035335689,1.0
socio_vacancy_rate,119444,0.0,0.0,0.14433880726015558,0.35289452815226013,0.6612903225806451,0.9137931034482759,1.0
socio_renter_occupied_rate,124771,0.0,0.0231023102310231,0.18244803695150116,0.3494259640859582,0.6848249027237354,1.0,1.0
socio_no_vehicle_rate,124771,0.0,0.0,0.032667876588021776,0.09419600380589914,0.3,0.8237791932059448,1.0
