check,value
rows,25563443
unique_h3_ids,25563443
unique_h3_hex,25563443
socio_matched_rows,25520789
socio_unmatched_rows,42654
matched_state_count,51
duplicate_h3_id,0
duplicate_h3_hex,0
invalid_h3,0
wrong_h3_resolution_native,0
h3_hex_mismatch,0
wrong_h3_resolution_column,0
wrong_osm_snapshot_year,0
wrong_acs_vintage,0
wrong_tiger_year,0
matched_flag_null,0
matched_missing_tract_or_state,0
unmatched_has_tract_or_state,0
unmatched_has_socio_value,0
bad_tract_geoid_format,0
bad_state_fips_format,0
tract_state_prefix_mismatch,0
negative_socio_population,0
negative_socio_median_age,0
negative_socio_income,0
major_density_gt_total_road_density,0
osm_poi_density_per_km2__null_or_nonfinite,0
osm_poi_density_per_km2__negative,0
osm_nightlife_poi_density_per_km2__null_or_nonfinite,0
osm_nightlife_poi_density_per_km2__negative,0
osm_food_poi_density_per_km2__null_or_nonfinite,0
osm_food_poi_density_per_km2__negative,0
osm_retail_poi_density_per_km2__null_or_nonfinite,0
osm_retail_poi_density_per_km2__negative,0
osm_transit_poi_density_per_km2__null_or_nonfinite,0
osm_transit_poi_density_per_km2__negative,0
osm_road_length_density_m_per_km2__null_or_nonfinite,0
osm_road_length_density_m_per_km2__negative,0
osm_major_road_density_m_per_km2__null_or_nonfinite,0
osm_major_road_density_m_per_km2__negative,0
osm_intersection_density_per_km2__null_or_nonfinite,0
osm_intersection_density_per_km2__negative,0
osm_dead_end_density_per_km2__null_or_nonfinite,0
osm_dead_end_density_per_km2__negative,0
osm_building_density_per_km2__null_or_nonfinite,0
osm_building_density_per_km2__negative,0
osm_major_road_length_ratio__null_or_nonfinite,0
osm_major_road_length_ratio__negative,0
osm_residential_road_length_ratio__null_or_nonfinite,0
osm_residential_road_length_ratio__negative,0
osm_service_road_length_ratio__null_or_nonfinite,0
osm_service_road_length_ratio__negative,0
osm_one_way_road_length_ratio__null_or_nonfinite,0
osm_one_way_road_length_ratio__negative,0
osm_tracked_poi_category_entropy__null_or_nonfinite,0
osm_tracked_poi_category_entropy__negative,0
osm_land_use_category_entropy__null_or_nonfinite,0
osm_land_use_category_entropy__negative,0
osm_commercial_residential_mix_ratio__null_or_nonfinite,0
osm_commercial_residential_mix_ratio__negative,0
osm_major_road_length_ratio__outside_0_1,0
osm_residential_road_length_ratio__outside_0_1,0
osm_service_road_length_ratio__outside_0_1,0
osm_one_way_road_length_ratio__outside_0_1,0
osm_nightlife_poi_density_per_km2__gt_total_poi_density,0
osm_food_poi_density_per_km2__gt_total_poi_density,0
osm_retail_poi_density_per_km2__gt_total_poi_density,0
osm_transit_poi_density_per_km2__gt_total_poi_density,0
poi_entropy_outside_theoretical_range,0
land_entropy_outside_theoretical_range,0
socio_median_age__nonfinite_if_present,0
socio_median_household_income__nonfinite_if_present,0
socio_poverty_rate__nonfinite_if_present,0
socio_unemployment_rate__nonfinite_if_present,0
socio_vacancy_rate__nonfinite_if_present,0
socio_renter_occupied_rate__nonfinite_if_present,0
socio_no_vehicle_rate__nonfinite_if_present,0
major_ratio_density_inconsistent,0
WARN__socio_poverty_rate__outside_0_1,0
WARN__socio_unemployment_rate__outside_0_1,0
WARN__socio_vacancy_rate__outside_0_1,0
WARN__socio_renter_occupied_rate__outside_0_1,0
WARN__socio_no_vehicle_rate__outside_0_1,0
