place,kind,lat,lon,candidate_cells,present_cells,coverage_fraction,osm_road_length_density_m_per_km2__median,osm_road_length_density_m_per_km2__max,osm_poi_density_per_km2__median,osm_poi_density_per_km2__max,osm_building_density_per_km2__median,osm_building_density_per_km2__max,osm_intersection_density_per_km2__median,osm_intersection_density_per_km2__max,osm_major_road_density_m_per_km2__median,osm_major_road_density_m_per_km2__max,osm_transit_poi_density_per_km2__median,osm_transit_poi_density_per_km2__max
Manhattan / Times Square,urban,40.758,-73.9855,61,61,1.0,59285.636893878014,96258.43440993575,1085.9870702388853,2209.734997418958,698.8011248794116,2558.73805019753,103.88646107766928,377.7710971209847,10107.735344247412,27473.917059273335,84.99753363196845,528.826975380962
Chicago Loop,urban,41.8837,-87.6324,61,61,1.0,77254.48493083267,113198.87913236012,1035.5964410812435,2071.0886147064602,329.4714849458738,903.6114681893532,329.49026698907215,752.9691362328676,15670.52040530039,33411.00929548242,94.14260318091611,414.2510723508992
Downtown San Francisco,urban,37.789,-122.401,61,59,0.9672131147540983,59684.644239482885,83865.02875247953,1060.4593931307816,2532.1196038483795,658.0430194435803,3757.4860004038387,210.27174437211488,438.71006712099125,6849.617764526743,24521.78021522338,146.24161541674889,575.8553642602901
Downtown Seattle,urban,47.6062,-122.3321,61,54,0.8852459016393442,74819.08550712545,110198.46964535974,935.4241165737858,2515.541386149374,306.4044602468287,1107.2982354235469,290.2824421551843,1268.5946231833027,10809.919022383781,35229.4673215732,86.0050786247966,322.5070488748806
Downtown Washington DC,urban,38.9072,-77.0369,61,61,1.0,65679.53018359543,88013.40368269567,586.4660561336786,1466.1715188237908,879.699084200518,3273.863472891525,322.5727887327059,596.1822639585922,10635.448327449665,29263.176367561147,39.100242806514785,205.2936572967341
Downtown Dallas,urban,32.7767,-96.797,61,61,1.0,59065.738954489774,92620.79069652627,153.1237999636665,1122.7050414032876,119.07695858414628,740.0910393100121,314.73936370566787,859.0382515483243,11561.11445524819,46603.945656241354,17.011498856766373,187.11724291151617
Downtown Houston,urban,29.7604,-95.3698,61,61,1.0,51115.29637242342,80140.90602358982,160.82144529991479,1286.4489202598863,169.28554825673515,2073.7115876442144,330.1253020068129,863.3402008495881,8240.689128138933,40886.308086466976,0.0,245.44470608657582
Downtown Los Angeles,urban,34.0522,-118.2437,61,61,1.0,55370.466503738055,83416.17914946341,348.48039270993706,1546.8988662290071,221.00196221859312,1207.1048748850988,220.9769462478105,458.94850886367124,11113.298200348325,40270.542189630134,42.495618906776905,492.9729129607699
Rural western Kansas,rural,38.5,-100.5,61,25,0.4098360655737705,2976.868223292461,5681.0163837087475,0.0,0.0,0.0,0.0,0.0,17.575634150345284,0.0,0.0,0.0,0.0
Central Nevada,rural,38.0,-117.0,61,0,0.0,,,,,,,,,,,,
Central Wyoming,rural,43.0,-107.0,61,0,0.0,,,,,,,,,,,,
Interior Alaska,rural,65.0,-150.0,61,0,0.0,,,,,,,,,,,,
