state_fips,rows
01,561951
02,343295
04,434045
05,500281
06,1043782
08,625023
09,101855
10,33492
11,1665
12,912070
13,732537
15,31703
16,424156
17,720798
18,526054
19,631456
20,752841
21,476202
22,394017
23,239317
24,185175
25,158884
26,702102
27,820920
28,444403
29,796519
30,577741
31,548962
32,195415
33,117283
34,146229
35,607642
36,600021
37,739570
38,483936
39,641462
40,726190
41,468525
42,668691
44,24262
45,442175
46,447321
47,540216
48,2113256
49,279064
50,102963
51,581749
53,564420
54,279451
55,651519
56,378183
